SCAIP1-ctrl	SCAIP1-CTRL
SCAIP1-LPS-DEX	SCAIP1-LPS-DEX
SCAIP1-LPS-etOH	SCAIP1-LPS-EtOH
SCAIP1-PHA-DEX	SCAIP1-PHA-DEX
SCAIP1-PHA-etOH	SCAIP1-PHA-EtOH
SCAIP2-ctrl	SCAIP2-CTRL
SCAIP2-LPS-DEX	SCAIP2-LPS-DEX
SCAIP2-LPS-etOH	SCAIP2-LPS-EtOH
SCAIP2-PHA-DEX	SCAIP2-PHA-DEX
SCAIP2-PHA-etOH	SCAIP2-PHA-EtOH
SCAIP3-ctrl	SCAIP3-CTRL
SCAIP3-LPS-DEX	SCAIP3-LPS-DEX
SCAIP3-LPS-etOH	SCAIP3-LPS-EtOH
SCAIP3-PHA-DEX	SCAIP3-PHA-DEX
SCAIP3-PHA-etOH	SCAIP3-PHA-EtOH
SCAIP4-A-ctrl	SCAIP4A-CTRL
SCAIP4-A-LPS-DEX	SCAIP4A-LPS-DEX
SCAIP4-A-LPS-etOH	SCAIP4A-LPS-EtOH
SCAIP4-A-PHA-DEX	SCAIP4A-PHA-DEX
SCAIP4-A-PHA-etOH	SCAIP4A-PHA-EtOH
SCAIP4-B-ctrl	SCAIP4B-CTRL
SCAIP4-B-LPS-DEX	SCAIP4B-LPS-DEX
SCAIP4-B-LPS-etOH	SCAIP4B-LPS-EtOH
SCAIP4-B-PHA-DEX	SCAIP4B-PHA-DEX
SCAIP4-B-PHA-etOH	SCAIP4B-PHA-EtOH
SCAIP5V2-CTRL	SCAIP5V2-CTRL
SCAIP5V2-LPS-DEX	SCAIP5V2-LPS-DEX
SCAIP5V2-LPS-EtOH	SCAIP5V2-LPS-EtOH
SCAIP5V2-PHA-DEX	SCAIP5V2-PHA-DEX
SCAIP5V2-PHA-EtOH	SCAIP5V2-PHA-EtOH
